,Banyo Sayısı,Bina Yaşı,Brüt Metrekare,Cinsi,Dairenin Katı,Depozito,Eşya Durumu,Isıtma,Kat Sayısı,Kategori,Kullanım Durumu,Net Metrekare,Oda Sayısı,Salon Metrekare,Site İçerisinde,Takas,Türü,WC Sayısı,Yapı Durumu,Yapı Tipi,İlan Numarası,İlan Tarihi,district,county,Title,price
0,2,4,130m,,4. Kat,-,-,Klimalı,10,Kiralık,Boş,120m,2+1,38 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6961687,02.02.2019,Mahmutlar Mahallesi',Alanya,Alanya mahmutlarda deniz manzaralı kiralık 2+1 daire,900 TL
1156,2,5-10,180m,,1. Kat,1300 TRY,-,Kombi Doğalgaz,9,Kiralık,Boş,150m,3+1,55 m,Hayır,Yok,Daire,3,İkinci El,Betonarme,6836698,01.02.2019,Kemerağzı Mahallesi',Aksu,Oteller bölgesinde kiralık 3+1 doğalgazlı site içerisinde daire,1.300 TL
2312,1,5-10,180m,,20-30,1600 TRY,-,Kombi Doğalgaz,9,Kiralık,Boş,180m,3+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6587034,01.02.2019,Kemerağzı Mahallesi',Aksu,Mobilyalı kiralık-3+1 daire kiralık,1.600 TL
3468,2,3,70m,,2. Kat,-,Eşyalı,Klimalı,12,Kiralık,Boş,60m,1+1,28 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6849190,02.02.2019,Mahmutlar Mahallesi',Alanya,Alanya da mahmutlar da rezidans da eşyalı kiralık 1+1 daire,1.200 TL
3502,2,3,70m,,2. Kat,-,-,Klimalı,12,Kiralık,Boş,60m,1+1,28 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6849190,02.02.2019,Mahmutlar Mahallesi',Alanya,Alanya da mahmutlar da rezidans da eşyalı kiralık 1+1 daire,1.200 TL
4624,Yok,5-10,181m,,30-40,5000 TRY,-,Klimalı,9,Kiralık,Boş,180m,3+1,50 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6752076,01.02.2019,Kemerağzı Mahallesi',Aksu,Kiralık kundu oteller bölgesinde kiralık mobilyalı boş daireler,2.250 TL
5780,2,0 (Yeni),120m,,1. Kat,2500 TRY,-,Kombi Doğalgaz,4,Kiralık,Boş,110m,2+1,-,Hayır,-,Daire,2,Sıfır,-,6971174,01.02.2019,Bahçelievler Mahallesi',Muratpaşa,Bahçelievler de kiralık - new apartment for rent -2+1 -a louer-,1.800 TL
6936,1,5-10,75m,,3. Kat,2000 TRY,-,Klimalı,3,Kiralık,Boş,65m,2+1,-,Hayır,-,Daire,1,İkinci El,-,6971219,01.02.2019,Fener Mahallesi',Muratpaşa,Terracity yakını eşyalı kiralık daire 2+1 - for rent -,1.500 TL
8092,1,0 (Yeni),40m,,Yüksek bodrum,-,-,Klimalı,3,Kiralık,Boş,35m,2+1,-,Hayır,Yok,Daire,1,Sıfır,Betonarme,6962296,01.02.2019,Kültür Mahallesi',Kepez,Antalya kepez kültürde kiralık 2+1 eşyalı giriş no 16887,850 TL
9248,1,5-10,140m,,1. Kat,1300 TRY,Boş,Isıtma yok,3,Kiralık,Boş,125m,3+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6906673,01.02.2019,Pınarbaşı Mahallesi',Konyaaltı,Pınarbaşı nda 3+1 kiralık daire,1.300 TL
9282,1,5-10,140m,,1. Kat,1300 TRY,-,Isıtma yok,3,Kiralık,Boş,125m,3+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6906673,01.02.2019,Pınarbaşı Mahallesi',Konyaaltı,Pınarbaşı nda 3+1 kiralık daire,1.300 TL
