,furnitured,residential site,heating_system,number_floors,Title,number_rooms,net_area,price,ad_date,district,number_bathroom,county,id,Deposit,building_age,floor_wthn_bldng,total_area
0,Evet,Hayır,Klima,3,1+1 SIFIR EŞYA Kültür Cafeler Yanı Bodrum Kat Acıklama Oku!,1+1,43.0,750 TL,05 Şubat 2019,Ahatlı,1,Kepez,656714380,Belirtilmemiş,0,Bodrum Kat,45
1,Hayır,Hayır,Klima,4,SUN GYO'DAN IRMAK MANZARALI PLAZADA SIFIR DAİRE,2+1,100.0,1250 TL,04 Şubat 2019,Manavgat,1,Manavgat,656257655,Belirtilmemiş,0,3,130
2,Hayır,Hayır,Klima,4,SUN EMLAK GYO'DAN MANAVGAT AYDINEVLERDE KİRALIK,3+1,130.0,850 TL,02 Şubat 2019,Manavgat,1,Manavgat,655507149,Belirtilmemiş,5-10 arası,4,160
3,Hayır,Hayır,Yok,3,HAKAN GAYRİMENKULDEN GÜZELOBA PAZARI YAKININDA DOĞALGAZLI,3+1,129.0,1600 TL,02 Şubat 2019,Lara,2,Muratpasa,632539713,Belirtilmemiş,5-10 arası,2,135
4,Hayır,Hayır,Klima,5,Eski lara yolu 1.bantta içi yenilenmiş ferah bir daire,3+1,155.0,2500 TL,01 Şubat 2019,Lara,1,Muratpasa,654673381,2.500,21-25 arası,1,180
5,Evet,,Klima,2,SUN EMLAK GYO 'DAN ÇOLAKLININ PERİ KÖYÜNDE KİRALIK TRİPLEX ..!,3+1,100.0,2000 TL,31 Ocak 2019,Colaklı,1,Manavgat,654397273,Belirtilmemiş,5-10 arası,Müstakil,120
6,Evet,Hayır,Klima,5,LIMAN MAH.20 SOK.3+1 EŞYALI DAIRE,3+1,160.0,2000 TL,27 Ocak 2019,Arapsuyu,1,Konyaaltı,640464575,2.250,11-15 arası,3,170
7,Hayır,Hayır,Klima,11,ALATURKA EMLAK'TAN GÜRSU DA DENİZE YAKIN KATTA 3+1 KİRALIK DAIRE,3+1,160.0,1300 TL,18 Ocak 2019,Arapsuyu,1,Konyaaltı,649145096,1.300,11-15 arası,4,175
8,Evet,,Klima,5,KONYAALTI LİMAN'da DENİZE 750 m.EŞYALI KİRALIK 1+1 DAİRE,1+1,50.0,1600 TL,14 Ocak 2019,Arapsuyu,1,Konyaaltı,647094803,1.600,11-15 arası,1,60
9,Hayır,,Klima,11,Varsak karsıyakada site içetinde 3+1,3+1,120.0,650 TL,06 Şubat 2019,Varsak,1,Kepez,657395329,650,16-20 arası,Kot 4,130
10,Evet,Hayır,Klima,4,Üçgen mah.ssk yakını 2+1 eşyalı daire,2+1,100.0,1200 TL,06 Şubat 2019,Carsı,1,Muratpasa,657408875,1.200,26-30 arası,4,100
11,Hayır,Hayır,Yok,4,Sahibinden Pazar Pazarında Memura Bakımlı Kiralık Daire,2+1,110.0,900 TL,06 Şubat 2019,Alanya,1,Alanya,657339514,Belirtilmemiş,11-15 arası,3,120
12,Belirtilmemiş,Hayır,Klima,3,FENER 'DE KİRALIK 3+1 130 m2 TERS DUBLEKS EVCİL HAYVANA UYGUN!!,3+1,130.0,1500 TL,06 Şubat 2019,Fener,1,Muratpasa,657406093,Belirtilmemiş,3,Giriş Katı,140
13,Hayır,Hayır,Klima,3,BAHÇEYAKA MAHALLESİ'NDE 3+1 135 M2 KİRALIK DAİRE,3+1,110.0,800 TL,06 Şubat 2019,Yenikoy,1,Dosemealtı,657402654,800,0,Yüksek Giriş,110
