,Aidat,Banyo Sayısı,Bina Yaşı,Brüt Metrekare,Bulunduğu Kat,Cephe Seçenekleri,Depozito,Eşyalı,Isınma Tipi,Kat Sayısı,Konut Tipi,Konut Şekli,Krediye Uygunluk,Kullanım Durumu,Net Metrekare,Oda + Salon,Site İçerisinde,Takas,Tapu Durumu,Title,Unnamed: 0,Yakıt Tipi,Yapı Tipi,Yapının Durumu,Yetkili Ofis,id,price,Öğrenciye/Bekara,İlan Tarihi
0,20 TL,1.0,1.0,160 m²,1,"Güney, Batı",850 TL,Hayır,Klima,4.0,Kiralık Daire,Daire,,Boş,145 m²,3 + 1,,,,ANTALYA KEPEZ SÜTÇÜLER'DE 3+1 150 M2 KİRALIK DAİRE,0,Elektrik,Betonarme,İkinci El,Yok, 92837-795,850 TL,Hayır,2.02.2019
1,,1.0,15.0,23 m²,1,,,Hayır,Klima,4.0,Kiralık Daire,Daire,,Boş,Belirtilmemiş ,1 + 1,,,,ANTALYA LARA'DA AYLIK ODA EKONOMİK FIRSAT,1,Elektrik,Betonarme,İkinci El,, 0-15868340,1.299 TL,Evet,1.01.2019
2,120 TL,1.0,0.0,125 m²,3,"Güney, Doğu",750 TL,Hayır,Klima,6.0,Kiralık Daire,Daire,,Boş,110 m²,2 + 1,Evet (Site Adı Belirtilmemiş),,,ANTALYA KEPEZ HAVUZLU SİTE İÇİ KİRALIK DAİRE ,2,Elektrik,Betonarme,Sıfır,Yok, 92837-767,750 TL,,2.02.2019
3,,2.0,0.0,90 m²,,"Kuzey, Güney, Doğu, Batı",,Hayır,Kombi,,Kiralık Daire,Bahçe Dubleksi,,,80 m²,2 + 1,,,,2+1 KUŞKAVAĞI MAH. KİRALIK SIFIR BAHÇE DUBLEKS,3,,,,Yok, 50997-283,1.750 TL,,25.01.2019
4,20 TL,1.0,30.0,140 m²,3,"Kuzey, Güney, Batı",1.100 TL,Evet,Klima,5.0,Kiralık Daire,Daire,,Boş,120 m²,2 + 1,Evet (Site Adı Belirtilmemiş),,,ALANYA DAMLATAŞ'TA SİTEDE EŞYALI 2+1 KİRALIK DAİRE,4,Elektrik,Betonarme,İkinci El,Var, 88252-2273,1.100 TL,Evet,2.02.2019
5,250 TL,1.0,1.0,75 m²,2,"Kuzey, Güney, Batı",2.500 TL,Evet,Klima,5.0,Kiralık Daire,Daire,,Boş,65 m²,1 + 1,Evet (Site Adı Belirtilmemiş),,,Sıte ıcerısınde denız manzaralı 1+1 esyalı daıre,5,Elektrik,Betonarme,İkinci El,Yok, 88252-2264,1.250 TL,Evet,2.02.2019
6,25 TL,1.0,22.0,135 m²,En Üst Kat,"Kuzey, Doğu",1.200 TL,Hayır,Klima,3.0,Kiralık Daire,Daire,,Boş,125 m²,3 + 1,,,,EKOL DEN BURHANETTİN ONAT CD. KATTA 3+1,6,,Betonarme,İkinci El,Yok, 4583-11492,1.200 TL,Hayır,2.02.2019
7,,1.0,2.0,100 m²,1,"Kuzey, Güney, Doğu",,Hayır,Klima,4.0,Kiralık Daire,Daire,Uygun,Boş,90 m²,2 + 1,,Hayır,,KIZILARIKTA ANA CADDE YAKINI SERVİS ULAŞIM İMKANI,7,Elektrik,Betonarme,İkinci El,Yok, 77527-3115,1.000 TL,,2.02.2019
8,,2.0,2.0,250 m²,Çatı Katı,"Kuzey, Güney, Batı",,Hayır,Klima,5.0,Kiralık Daire,Çatı Dubleksi,,Boş,225 m²,3 + 1,Evet (Site Adı Belirtilmemiş),,,"DENIZ MANZARALI 3+1 AYRI MUTFAK YILLIK ODEME 20,000 TL",8,Elektrik,,,Var, 88252-2270,1.666 TL,Evet,2.02.2019
9,200 TL,1.0,0.0,125 m²,Çatı Katı,"Kuzey, Güney, Doğu, Batı",1.250 TL,Hayır,Klima,5.0,Kiralık Daire,Çatı Dubleksi,,,115 m²,2 + 1,Evet (Site Adı Belirtilmemiş),,,SITE ICERISINDE KIRALIK 2+1 CATI DUBLEX DAIRELER,9,Elektrik,,,Var, 88252-2269,1.250 TL,Evet,2.02.2019
