,Aidat (TL),Balkon,Banyo Sayısı,Bina Yaşı,Bulunduğu Kat,Depozito (TL),Eşyalı,Isıtma,Kat Sayısı,Kullanım Durumu,Oda Sayısı,Site İçerisinde,ad_link,ad_title,county,district,id,m² (Brüt),m² (Net),price,seller_link,seller_name,İlan No,İlan Tarihi
0,Belirtilmemiş,Yok,1,0,Bodrum Kat,Belirtilmemiş,Evet,Klima,3,Boş,1+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-1-plus1-sifir-esya-kultur-cafeler-yani-bodrum-kat-aciklama-oku-656714380/detay,1+1 SIFIR EŞYA Kültür Cafeler Yanı Bodrum Kat Acıklama Oku!,Kepez,Ahatlı,656714380,45,43.0,750 TL,https://evbulemlakk.sahibinden.com/,EV BUL EMLAK,656714380,05 Şubat 2019
1,200,Var,1,0,3,Belirtilmemiş,Hayır,Klima,4,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sun-gyo-dan-irmak-manzarali-plazada-sifir-daire-656257655/detay,SUN GYO'DAN IRMAK MANZARALI PLAZADA SIFIR DAİRE,Manavgat,Manavgat,656257655,130,100.0,1250 TL,https://sunemlakgyo.sahibinden.com/,SUN EMLAK GYO,656257655,04 Şubat 2019
2,Belirtilmemiş,Var,1,5-10 arası,4,Belirtilmemiş,Hayır,Klima,4,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sun-emlak-gyo-dan-manavgat-aydinevlerde-kiralik-655507149/detay,SUN EMLAK GYO'DAN MANAVGAT AYDINEVLERDE KİRALIK,Manavgat,Manavgat,655507149,160,130.0,850 TL,https://sunemlakgyo.sahibinden.com/,SUN EMLAK GYO,655507149,02 Şubat 2019
3,20,Var,2,5-10 arası,2,Belirtilmemiş,Hayır,Yok,3,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-hakan-gayrimenkulden-guzeloba-pazari-yakininda-dogalgazli-632539713/detay,HAKAN GAYRİMENKULDEN GÜZELOBA PAZARI YAKININDA DOĞALGAZLI,Muratpasa,Lara,632539713,135,129.0,1600 TL,https://hakangayrimenkul.sahibinden.com/,HAKAN EMLAK GAYRİMENKUL ANTALYA,632539713,02 Şubat 2019
4,50,Var,1,21-25 arası,1,2.500,Hayır,Klima,5,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-eski-lara-yolu-1.bantta-ici-yenilenmis-ferah-bir-daire-654673381/detay,Eski lara yolu 1.bantta içi yenilenmiş ferah bir daire,Muratpasa,Lara,654673381,180,155.0,2500 TL,https://bellagayrimenkul.sahibinden.com/,Bella Gayrimenkul,654673381,01 Şubat 2019
5,Belirtilmemiş,Var,1,5-10 arası,Müstakil,Belirtilmemiş,Evet,Klima,2,Boş,3+1,,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sun-emlak-gyo-dan-colaklinin-peri-koyunde-kiralik-triplex-654397273/detay,SUN EMLAK GYO 'DAN ÇOLAKLININ PERİ KÖYÜNDE KİRALIK TRİPLEX ..!,Manavgat,Colaklı,654397273,120,100.0,2000 TL,https://sunemlakgyo.sahibinden.com/,SUN EMLAK GYO,654397273,31 Ocak 2019
6,250,Var,1,11-15 arası,3,2.250,Evet,Klima,5,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-liman-mah.20-sok.3-plus1-esyali-daire-640464575/detay,LIMAN MAH.20 SOK.3+1 EŞYALI DAIRE,Konyaaltı,Arapsuyu,640464575,170,160.0,2000 TL,https://antalyaevyapgroup.sahibinden.com/,EVYAP GROUP,640464575,27 Ocak 2019
7,85,Var,1,11-15 arası,4,1.300,Hayır,Klima,11,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-alaturka-emlak-tan-gursu-da-denize-yakin-katta-3-plus1-kiralik-daire-649145096/detay,ALATURKA EMLAK'TAN GÜRSU DA DENİZE YAKIN KATTA 3+1 KİRALIK DAIRE,Konyaaltı,Arapsuyu,649145096,175,160.0,1300 TL,https://alaturkagayrimenkul.sahibinden.com/,ALATURKA GAYRİMENKUL,649145096,18 Ocak 2019
8,100,Var,1,11-15 arası,1,1.600,Evet,Klima,5,Boş,1+1,,https://www.sahibinden.com/ilan/emlak-konut-kiralik-konyaalti-liman-da-denize-750-m.esyali-kiralik-1-plus1-daire-647094803/detay,KONYAALTI LİMAN'da DENİZE 750 m.EŞYALI KİRALIK 1+1 DAİRE,Konyaaltı,Arapsuyu,647094803,60,50.0,1600 TL,https://tolerancehomes.sahibinden.com/,TOLERANCE HOMES,647094803,14 Ocak 2019
9,55,Var,1,16-20 arası,Kot 4,650,Hayır,Klima,11,Boş,3+1,,https://www.sahibinden.com/ilan/emlak-konut-kiralik-varsak-karsiyakada-site-icetinde-3-plus1-657395329/detay,Varsak karsıyakada site içetinde 3+1,Kepez,Varsak,657395329,130,120.0,650 TL,from owner,from owner,657395329,06 Şubat 2019
10,20,Var,1,26-30 arası,4,1.200,Evet,Klima,4,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-ucgen-mah.ssk-yakini-2-plus1-esyali-daire-657408875/detay,Üçgen mah.ssk yakını 2+1 eşyalı daire,Muratpasa,Carsı,657408875,100,100.0,1200 TL,https://efsanemcmerisemlak.sahibinden.com/,EFSANE MC MERİS EMLAK,657408875,06 Şubat 2019
11,15,Var,1,11-15 arası,3,Belirtilmemiş,Hayır,Yok,4,Boş,2+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-sahibinden-pazar-pazarinda-memura-bakimli-kiralik-daire-657339514/detay,Sahibinden Pazar Pazarında Memura Bakımlı Kiralık Daire,Alanya,Alanya,657339514,120,110.0,900 TL,from owner,from owner,657339514,06 Şubat 2019
12,Belirtilmemiş,Var,1,3,Giriş Katı,Belirtilmemiş,Belirtilmemiş,Klima,3,Boş,3+1,Hayır,https://www.sahibinden.com/ilan/emlak-konut-kiralik-fener-de-kiralik-3-plus1-130-m2-ters-dubleks-evcil-hayvana-uygun-657406093/detay,FENER 'DE KİRALIK 3+1 130 m2 TERS DUBLEKS EVCİL HAYVANA UYGUN!!,Muratpasa,Fener,657406093,140,130.0,1500 TL,https://emrahkilincgayrimenkul.sahibinden.com/,EMRAH KILINÇ GAYRİMENKUL,657406093,06 Şubat 2019
